region,name
Northern Strait of Georgia,SG-003 Gorges Islands 50.2672 124.7988
Northern Strait of Georgia,SG-005 Sheer Point 50.1989 125.1292
Northern Strait of Georgia,SG-008 “Deepwater” Bluffs 50.1928 125.3425
Northern Strait of Georgia,SG-010 "Brown" Bluffs 50.1703 125.3703
Northern Strait of Georgia,SG-012 “Steamer” Island 50.1584 125.0949
Northern Strait of Georgia,SG-014 Hoskyn Rock 50.1389 125.1592
Northern Strait of Georgia,SG-015 Breton Islands 50.1289 125.1769
Northern Strait of Georgia,SG-017 Centre Islet 50.1250 125.0911
Northern Strait of Georgia,SG-018 “Plunger” Rock 50.1194 125.0692
Northern Strait of Georgia,SG-020 Copper Cliffs 50.0994 125.2711
Northern Strait of Georgia,SG-022 “Quathiaski” Cliffs 50.0533 125.2328
Northern Strait of Georgia,SG-024 “Whaletown” Rock 50.1041 125.0537
Northern Strait of Georgia,SG-026 "Fast" Rock 50.0917 125.0344
Northern Strait of Georgia,SG-030 Guide Islets 50.0808 125.0178
Northern Strait of Georgia,SG-034 “Mansons” Rock 50.0761 124.9897
Northern Strait of Georgia,SG-038 “Frabjious” Rock 50.0628 124.9119
Northern Strait of Georgia,SG-040 Three Islets 50.0539 124.9131
Northern Strait of Georgia,SG-044 Twin Islands 50.0428 124.9472
Northern Strait of Georgia,SG-048 “Sirk” Beach 50.0392 124.9678
Northern Strait of Georgia,SG-050 Little Rock 50.0361 124.9575
Northern Strait of Georgia,SG-055 Ray Rock 50.1108 124.7228
Northern Strait of Georgia,SG-056 "Tenedos" Rock 50.1183 124.7096
Northern Strait of Georgia,SG-060 Powell Islets 50.0417 124.8531
Northern Strait of Georgia,SG-068 Copeland Islands 50.0236 124.8247
Northern Strait of Georgia,SG-070 Major Islet 49.9894 124.8161
Northern Strait of Georgia,SG-080 Keefer Rock 49.9681 124.8772
Northern Strait of Georgia,SG-090 Mitlenatch Island 49.9500 125.0042
Northern Strait of Georgia,SG-100 Powell River 49.8667 124.5528
Northern Strait of Georgia,SG-110 Vivian Island 49.8406 124.7014
Northern Strait of Georgia,SG-120 Rebecca Rock 49.8136 124.6597
Northern Strait of Georgia,SG-130 McRae Islet 49.7436 124.2925
Northern Strait of Georgia,SG-135 Deserted Bay - Dock 50.0868 123.7439
Northern Strait of Georgia,SG-140 "Blind" Islets 49.7147 124.2175
Northern Strait of Georgia,SG-145 “Cockburn” Islets 49.6681 124.1847
Northern Strait of Georgia,SG-148 “Trafalgar” Rock 49.6514 124.1164
Northern Strait of Georgia,SG-150 Fearney Point 49.6481 124.0894
Northern Strait of Georgia,SG-160 Hodgson Islands 49.6375 124.0914
Northern Strait of Georgia,SG-170 Daniel Point 49.6375 124.0722
Northern Strait of Georgia,SG-175 Whitestone Islands 49.5961 124.0447
Northern Strait of Georgia,SG-180 Mouat Islands 49.6331 124.4625
Northern Strait of Georgia,SG-190 "Davie" Islet 49.6003 124.3964
Northern Strait of Georgia,SG-200 Denman Island - West Dock 49.5347 124.8236
Northern Strait of Georgia,SG-210 Denman Island - East Dock 49.4939 124.7089
Northern Strait of Georgia,SG-212 Hornby Island - West Dock 49.5117 124.7044
Northern Strait of Georgia,SG-220 St. John Point 49.5167 124.5861
Northern Strait of Georgia,SG-221 Flora Islet 49.5175 124.5772
Northern Strait of Georgia,SG-230 Norris Rocks 49.4836 124.6475
Northern Strait of Georgia,SG-239 Boyle Point 49.4783 124.6853
Northern Strait of Georgia,SG-240 Chrome Island 49.4719 124.6844
Northern Strait of Georgia,SG-250 Sisters Islets 49.4867 124.4350
Northern Strait of Georgia,SG-260 Finnerty Islands 49.4989 124.3953
Northern Strait of Georgia,SG-270 Fegen Islets 49.5300 124.3806
Northern Strait of Georgia,SG-276 “Heron” Rock 49.5017 124.2524
Northern Strait of Georgia,SG-278 “Sabine” Islets 49.5128 124.2594
Northern Strait of Georgia,SG-280 Jervis Island 49.5125 124.2417
Northern Strait of Georgia,SG-284 Boho Island 49.5000 124.2297
Northern Strait of Georgia,SG-286 “Connie” Rock 49.4917 124.2203
Northern Strait of Georgia,SG-290 "Upwood" Islet 49.4886 124.1342
Northern Strait of Georgia,SG-300 Sheer Island 49.4869 124.1714
Northern Strait of Georgia,SG-301 Bull Island 49.4850 124.1969
Northern Strait of Georgia,SG-302 Rabbit Island 49.4786 124.1750
Northern Strait of Georgia,SG-305 “Windy” Rock 49.4658 124.1725
Northern Strait of Georgia,SG-308 “Jenkins” Cliffs 49.4597 124.3019
Northern Strait of Georgia,SG-310 Sea Egg Rocks 49.4522 124.3111
Northern Strait of Georgia,SG-320 Sangster Island 49.4261 124.1989
Northern Strait of Georgia,SG-330 "Priestland" Rocks 49.5078 123.9128
Northern Strait of Georgia,SG-340 "Jeddah" Rocks 49.5019 123.9467
Northern Strait of Georgia,SG-350 Bertha Island 49.4650 123.9611
Northern Strait of Georgia,SG-360 Franklin Island 49.4667 123.9192
Northern Strait of Georgia,SG-370 Merry Island 49.4692 123.9189
Northern Strait of Georgia,SG-380 Porpoise Bay 49.4836 123.7617
Northern Strait of Georgia,SG-390 Trail Islands 49.4544 123.8150
Northern Strait of Georgia,SG-400 White Islets 49.4181 123.7119
Northern Strait of Georgia,SG-410 Popham Island 49.3617 123.4881
Northern Strait of Georgia,SG-414 Pasley Island 49.3544 123.4631
Northern Strait of Georgia,SG-416 “Onion” Rock 49.3556 123.4247
Northern Strait of Georgia,SG-420 Ragged Island 49.3772 123.4503
Northern Strait of Georgia,SG-424 “Galbraith” Rock 49.4025 123.3786
Northern Strait of Georgia,SG-426 Grace Islands 49.4308 123.4469
Northern Strait of Georgia,SG-428 Mariners’ Rest 49.4717 123.4600
Northern Strait of Georgia,SG-430 Christie Islet 49.4994 123.3017
Northern Strait of Georgia,SG-440 Pam Rock 49.4878 123.2994
Northern Strait of Georgia,SG-444 Squamish Harbour 49.6822 123.1742
Northern Strait of Georgia,SG-446 “Britannia” Rock 49.6314 123.2119
Northern Strait of Georgia,SG-450 Bowyer Island 49.4264 123.2689
Northern Strait of Georgia,SG-460 "Sunset Beach" Cliffs 49.4000 123.2506
Northern Strait of Georgia,SG-470 "Bay" Rock 49.3803 123.2733
Northern Strait of Georgia,SG-475 Horseshoe Bay - Ferry Terminal 49.3756 123.2719
Northern Strait of Georgia,SG-480 Lookout Point 49.3767 123.2900
Northern Strait of Georgia,SG-490 Whyte Islet 49.3700 123.2919
Northern Strait of Georgia,SG-500 Bird Islet 49.3633 123.2911
Northern Strait of Georgia,SG-505 Kettle Point 49.3622 123.2867
Northern Strait of Georgia,SG-510 Batchelor Point 49.3575 123.2844
Northern Strait of Georgia,SG-520 "Eagle" Rocks 49.3544 123.2789
Northern Strait of Georgia,SG-530 Passage Island 49.3431 123.3056
Northern Strait of Georgia,SG-540 Grebe Islets 49.3408 123.2756
Northern Strait of Georgia,SG-550 Point Atkinson 49.3297 123.2650
Northern Strait of Georgia,SG-555 Capilano Lake 49.3639 123.1097
Northern Strait of Georgia,SG-560 Wigwam Inn 49.4619 122.8858
Northern Strait of Georgia,SG-562 Croker Island - Cliffs 49.4319 122.8672
Northern Strait of Georgia,SG-565 “Buntzen” Cliffs 49.3528 122.8872
Northern Strait of Georgia,SG-568 Port Moody 49.2978 122.8911
Northern Strait of Georgia,SG-570 Barnet 49.2922 122.9367
Northern Strait of Georgia,SG-580 Second Narrows 49.2950 123.0261
Northern Strait of Georgia,SG-590 North Vancouver 49.3083 123.0786
Northern Strait of Georgia,SG-595 West Vancouver 49.3294 123.1694
Northern Strait of Georgia,SG-600 Vancouver Harbour 49.2861 123.0992
Northern Strait of Georgia,SG-610 Lions Gate Bridge 49.3153 123.1386
Northern Strait of Georgia,SG-620 Prospect Point 49.3136 123.1419
Northern Strait of Georgia,SG-630 Siwash Rock 49.3089 123.1567
Northern Strait of Georgia,SG-640 Burrard Bridge 49.2753 123.1375
Northern Strait of Georgia,SG-650 Granville Bridge 49.2719 123.1339
Northern Strait of Georgia,SG-660 False Creek 49.2717 123.1083
Northern Strait of Georgia,SG-661 Point Grey 49.2650 123.2528
Northern Strait of Georgia,SG-664 Oak Street Bridge 49.2000 123.1258
Northern Strait of Georgia,SG-665 Mitchell Island 49.2025 123.0897
Northern Strait of Georgia,SG-666 Knight Street Bridge 49.2031 123.0775
Northern Strait of Georgia,SG-667 South Vancouver 49.2026 123.1278
Northern Strait of Georgia,SG-670 Queens Reach to North Arm 49.2217 122.8367
Northern Strait of Georgia,SG-672 Pattullo Bridges 49.2075 122.8944
Northern Strait of Georgia,SG-674 Annacis Island 49.1706 122.9444
Northern Strait of Georgia,SG-675 Lulu Island - North 49.2000 123.0767
Northern Strait of Georgia,SG-677 Sea Island 49.1969 123.1739
Northern Strait of Georgia,SG-678 Iona Island 49.2056 123.2641
Northern Strait of Georgia,SG-679 Lulu Island - South 49.1250 123.1869
Northern Strait of Georgia,SG-680 Westham Island 49.0983 123.1786
Northern Strait of Georgia,SG-690 Sand Heads 49.1056 123.3033
Northern Strait of Georgia,SG-700 Roberts Bank - Superport 49.0194 123.1619
Northern Strait of Georgia,SG-705 Roberts Bank - Foreshore 49.0333 123.1000
Northern Strait of Georgia,SG-710 Tsawwassen - Ferry Terminal 49.0158 123.1167
Northern Strait of Georgia,SG-720 Tsawwassen - Breakwater 49.0033 123.1256
Northern Strait of Georgia,SG-730 White Rock 49.0231 122.7978
Gulf Islands,GI-010 Ballenas Islands 49.3464 124.1581
Gulf Islands,GI-015 Yeo Islands 49.3053 124.1350
Gulf Islands,GI-020 Ada Islands 49.2853 124.0939
Gulf Islands,GI-040 Maude Island 49.2706 124.0819
Gulf Islands,GI-045 Long Lake 49.2111 124.0208
Gulf Islands,GI-050 Five Finger Island 49.2311 123.9158
Gulf Islands,GI-060 Hudson Rocks 49.2258 123.9250
Gulf Islands,GI-070 Snake Island 49.2156 123.8906
Gulf Islands,GI-074 Entrance Island 49.2089 123.8092
Gulf Islands,GI-076 Brandon Islands 49.2069 123.9569
Gulf Islands,GI-080 Newcastle Island - East Dock 49.1803 123.9289
Gulf Islands,GI-085 Nanaimo Harbour 49.1628 123.9314
Gulf Islands,GI-089 Descanso Bay 49.1781 123.8583
Gulf Islands,GI-090 Gabriola Island - West Cliffs 49.1558 123.8569
Gulf Islands,GI-095 Harmac - Mill 49.1375 123.8575
Gulf Islands,GI-100 Gabriola Island - East Cliffs 49.1608 123.7278
Gulf Islands,GI-110 Carlos Island 49.1592 123.6969
Gulf Islands,GI-112 Breakwater Island 49.1361 123.6825
Gulf Islands,GI-120 Mudge Island 49.1281 123.7875
Gulf Islands,GI-130 Round Island 49.1147 123.7956
Gulf Islands,GI-140 Link Island 49.1161 123.7636
Gulf Islands,GI-150 De Courcy Island 49.0983 123.7458
Gulf Islands,GI-160 Valdes Island - West Cliffs 49.1056 123.7028
Gulf Islands,GI-170 Ruxton Island 49.0758 123.7064
Gulf Islands,GI-171 Whaleboat Island 49.0739 123.6925
Gulf Islands,GI-180 Tree Island 49.0608 123.6978
Gulf Islands,GI-190 Miami Islet 49.0372 123.7094
Gulf Islands,GI-195 Ladysmith Harbour 49.0031 123.8194
Gulf Islands,GI-200 Ragged Islets 49.0264 123.6961
Gulf Islands,GI-210 Rose Islets 49.0081 123.6439
Gulf Islands,GI-220 Canoe Islet 49.0281 123.5886
Gulf Islands,GI-230 Galiano Island - North Cliffs 48.9725 123.5631
Gulf Islands,GI-238 Scott Island 48.9756 123.6942
Gulf Islands,GI-240 "Preedy" Rock 48.9675 123.6756
Gulf Islands,GI-250 Augustus Point 48.9450 123.6528
Gulf Islands,GI-258 Jackscrew Island 48.9533 123.5875
Gulf Islands,GI-260 Wallace Island 48.9386 123.5500
Gulf Islands,GI-270 Tent Island 48.9250 123.6303
Gulf Islands,GI-280 Bare Point 48.9278 123.7064
Gulf Islands,GI-285 Chemainus - Harbour 48.9256 123.7144
Gulf Islands,GI-290 Shoal Islands 48.9000 123.6667
Gulf Islands,GI-292 Crofton - Mill 48.8792 123.6497
Gulf Islands,GI-300 Cowichan Lake 48.8667 124.2333
Gulf Islands,GI-310 Vesuvius Bay 48.8811 123.5733
Gulf Islands,GI-320 Ballingall Islets 48.9072 123.4594
Gulf Islands,GI-330 Galiano Island - Central Cliffs 48.9119 123.4314
Gulf Islands,GI-340 "Wise" Rock 48.8978 123.4389
Gulf Islands,GI-350 Charles Island 48.9014 123.4350
Gulf Islands,GI-360 Parker Island - Cliffs 48.8825 123.4139
Gulf Islands,GI-370 Galiano Island - South Cliffs 48.8694 123.3897
Gulf Islands,GI-380 Lion Islets 48.9003 123.3350
Gulf Islands,GI-390 “Gossip” Rock 48.8925 123.3292
Gulf Islands,GI-400 Galiano Island - Active Pass Cliffs 48.8625 123.3306
Gulf Islands,GI-408 Clamshell Islet 48.8519 123.4414
Gulf Islands,GI-410 “Long Harbour” Islet 48.8453 123.4264
Gulf Islands,GI-420 Chain Islands 48.8375 123.4539
Gulf Islands,GI-424 Hawkins Island 48.8403 123.3717
Gulf Islands,GI-426 Portlock Point 48.8278 123.3525
Gulf Islands,GI-430 Annette Inlet 48.8258 123.3911
Gulf Islands,GI-440 Red Islets 48.8161 123.3561
Gulf Islands,GI-450 Prevost Island - South Cliffs 48.8128 123.3750
Gulf Islands,GI-460 Channel Islands 48.7994 123.3842
Gulf Islands,GI-465 “Grainger” Rocks 48.8343 123.2349
Gulf Islands,GI-470 Belle Chain Islets 48.8244 123.1842
Gulf Islands,GI-480 "Minx" Rocks 48.8111 123.2042
Gulf Islands,GI-490 Pine Islet 48.8003 123.0953
Gulf Islands,GI-500 Cabbage Island 48.7981 123.0869
Gulf Islands,GI-510 East Point - Cliffs 48.7817 123.0469
Gulf Islands,GI-520 Lyall Harbour - Cliffs 48.8017 123.1892
Gulf Islands,GI-530 Elliot Bluff 48.7892 123.2122
Gulf Islands,GI-535 Razor Point - Cliffs 48.7755 123.2445
Gulf Islands,GI-540 "Croker" Rock 48.7731 123.1961
Gulf Islands,GI-550 Java Islets 48.7597 123.1097
Gulf Islands,GI-560 Blunden Islet 48.7442 123.1681
Gulf Islands,GI-570 Oaks Bluff 48.7481 123.2675
Gulf Islands,GI-580 "Peter" Rock 48.7381 123.2311
Gulf Islands,GI-588 “Kingfisher” Rocks 48.7561 123.4092
Gulf Islands,GI-590 Jackson Rock 48.7539 123.4283
Gulf Islands,GI-595 Fulford Harbour 48.7622 123.4380
Gulf Islands,GI-600 Isabella Island 48.7289 123.4306
Gulf Islands,GI-610 Pellow Islets 48.7247 123.3575
Gulf Islands,GI-620 Tortoise Islets 48.7161 123.3686
Gulf Islands,GI-630 Arbutus Island 48.7061 123.4353
Gulf Islands,GI-640 Hatch Point - Wharf 48.6969 123.5406
Gulf Islands,GI-650 Pym Island 48.7000 123.3892
Gulf Islands,GI-656 Swartz Bay - Ferry Terminal 48.6892 123.4114
Gulf Islands,GI-660 "Swartz Head" Rocks 48.6864 123.4000
Gulf Islands,GI-665 Point Fairfax 48.6992 123.2986
Gulf Islands,GI-670 Imrie Island 48.6944 123.3331
Gulf Islands,GI-680 Reay Island 48.6833 123.3292
Gulf Islands,GI-690 Greig Island 48.6781 123.3392
Gulf Islands,GI-700 "Killer Whale" Rocks 48.6772 123.3836
Gulf Islands,GI-710 Little Group 48.6717 123.3575
Gulf Islands,GI-720 Rubly Island 48.6653 123.3125
Gulf Islands,GI-725 Gooch Island 48.6631 123.2908
Gulf Islands,GI-726 Rum Island 48.6628 123.2778
Gulf Islands,GI-730 Forrest Island 48.6617 123.3347
Gulf Islands,GI-735 Sidney Spit 48.6419 123.3306
Gulf Islands,GI-740 Sidney 48.6433 123.3969
Gulf Islands,GI-750 Mandarte Island 48.6333 123.2867
Gulf Islands,GI-760 Halibut Island 48.6203 123.2728
Gulf Islands,GI-765 James Island - West Dock 48.5967 123.3536
Gulf Islands,GI-770 Sallas Rocks 48.5847 123.2903
Gulf Islands,GI-780 Little D'Arcy Island 48.5703 123.2667
Gulf Islands,GI-782 Unit Rocks 48.5647 123.2644
Gulf Islands,GI-790 Gordon Head 48.4956 123.3069
Gulf Islands,GI-800 Ten Mile Point 48.4553 123.2653
Gulf Islands,GI-810 Flower Island 48.4489 123.2792
Gulf Islands,GI-820 Jemmy Jones Island 48.4444 123.2728
Gulf Islands,GI-825 Chatham Islands 48.4375 123.2486
Gulf Islands,GI-830 Discovery Island 48.4256 123.2375
Gulf Islands,GI-840 Fiddle Reef 48.4294 123.2839
Gulf Islands,GI-850 Mary Tod Island 48.4275 123.2986
Gulf Islands,GI-860 Emily Islet 48.4269 123.2933
Gulf Islands,GI-870 Lewis Reef 48.4253 123.2797
Gulf Islands,GI-880 Harris Island 48.4231 123.2897
Gulf Islands,GI-890 Chain Islets/Great Chain Island 48.4206 123.2753
Gulf Islands,GI-900 Trial Islands 48.3972 123.3056
Gulf Islands,GI-905 Ogden Point - Port 48.4150 123.3897
Gulf Islands,GI-910 Harrison Island 48.4178 123.4022
Gulf Islands,GI-915 Berens Island 48.4242 123.3933
Gulf Islands,GI-920 Colvile Island 48.4269 123.3883
Gulf Islands,GI-925 Pelly Island 48.4256 123.3842
Gulf Islands,GI-930 Victoria 48.4250 123.3694
Gulf Islands,GI-938 Gillingham Islands 48.4197 123.4158
Gulf Islands,GI-940 Brothers Islands 48.4253 123.4342
Gulf Islands,GI-950 Coburg Peninsula 48.4250 123.4639
