"Location","Year","Location.Description","Site.Number","Colony.Size.Class","Colony.Location.Class","Count","Type.of.Info","Lat","Long","Notes.x","Collector","Source","Location_Code_SCoBC2023","Location_B_SCoBC2023","check.location.match","Location_Code_final","Location_final","Latitude_final","Longitude_final","Notes.y"
"Ada Island",1974,"",1,3,NA,171,"Pair",49.29,-124.0768,"","","Campbell 1976","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1975,"",1,3,NA,100,"Nests",49.29,-124.0768,"","K.Kennedy","B.C. Nest Record Scheme","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1978,"",1,3,NA,154,"Nests",49.29,-124.0768,"","MGS TES","B.C Nest Record Scheme","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1980,"",1,3,NA,86,"Nests",49.29,-124.0768,"","","Campbell et al 1990","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1981,"",1,3,NA,155,"Nests",49.29,-124.0768,"","L Giliberte, M McNall","B.C Nest Record Scheme","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",1986,"",1,3,NA,124,"Nests",49.29,-124.0768,"","","Vermeer and Devito 1989","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Ada Island",2010,"",1,3,NA,69,"Nests",49.29,-124.0768,"","","","GI-020","Ada Islands","check","GI-020","Ada Islands",49.2853,-124.0939,NA
"Anniversary Islet",1977,"",2,2,NA,4,"Nests",48.824,-123.1833,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-470","Belle Chain Islets",NA,NA,"Anniversary Islet",48.824,-123.1833,"name and coordinates set to KBB2020"
"Anniversary Islet",1978,"",2,2,NA,50,"Nests",48.824,-123.1833,"","HR Carter, MS Rodway","B.C. Nest Record Scheme","GI-470","Belle Chain Islets",NA,NA,"Anniversary Islet",48.824,-123.1833,"name and coordinates set to KBB2020"
"Anniversary Islet",2005,"",2,2,NA,0,"Nests",48.824,-123.1833,"","P. Arcese?","Unpubl. Data - ""Arcese"" file in GWGU_laura","GI-470","Belle Chain Islets",NA,NA,"Anniversary Islet",48.824,-123.1833,"name and coordinates set to KBB2020"
"Arbutus Island",1976,"",3,3,NA,39,"Nests",48.7062,-123.4355,"","","Campbell et al 1990","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",1985,"",3,3,NA,115,"Nests",48.7062,-123.4355,"","","Vermeer and Devito 1989","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",1986,"",3,3,NA,150,"Nests",48.7062,-123.4355,"","","Vermeer and Devito 1989","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",1997,"",3,3,NA,97,"Nests",48.7062,-123.4355,"","","Sullivan et al 2002","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",1999,"",3,3,NA,55,"Nests",48.7062,-123.4355,"","","Moira Lemon BLOY egg collection 1999, Sullivan et al. 2002","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",2005,"",3,3,NA,40,"Nests",48.7062,-123.4355,"","","Unpubl. Data - ""Haro Gulls"" file in GWGU_laura","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",2007,"",3,3,NA,35,"Nests",48.7062,-123.4355,"","","Unpubl. Data - ""Haro Gulls"" file in GWGU_laura","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Arbutus Island",2010,"",3,3,NA,53,"Nests",48.7062,-123.4355,"","","","GI-630","Arbutus Island",NA,"GI-630","Arbutus Island",48.7061,-123.4353,NA
"Augustus Point",1974,"SW side Kuper Island",5,1,NA,3,"Pair",48.9457,-123.6522,"","","Campbell 1976","GI-250","Augustus Point",NA,"GI-250","Augustus Point",48.945,-123.6528,NA
"Augustus Point",1978,"",5,1,NA,3,"Nests",48.9457,-123.6522,"Record showed 14 Adults, ""3 setting in nest holes"", so assumed 3 N","HR Carter, MS Rodway","B.C. Nest Record Scheme","GI-250","Augustus Point",NA,"GI-250","Augustus Point",48.945,-123.6528,NA
"Augustus Point",1980,"",5,1,NA,3,"",48.9457,-123.6522,"10 roosting adults reported so estimated 3 N","E Perkins, R Gibbs, J Goodall","B.C. Nest Record Scheme","GI-250","Augustus Point",NA,"GI-250","Augustus Point",48.945,-123.6528,NA
"Augustus Point",1984,"",5,1,NA,6,"Nests",48.9457,-123.6522,"","L Giliberte, M McNall","B.C. Nest Record Scheme","GI-250","Augustus Point",NA,"GI-250","Augustus Point",48.945,-123.6528,NA
"Ballenas Island",1952,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1953,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1954,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1955,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1956,"N Cliffs of N islet",6,3,NA,50,"Pair",49.3542,-124.1647,"","Mrs. A.G. Waldon","Drent and Guiguet 1961","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1968,"",6,3,NA,55,"Nests",49.3542,-124.1647,"","R. Drent","B.C. Nest Record Scheme","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1969,"",6,3,NA,120,"Pair",49.3542,-124.1647,"","W. Campbell, R.G. Fouttit","B.C. Nest Record Scheme","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",1986,"",6,3,NA,0,"Nests",49.3542,-124.1647,"","","Vermeer & Devito 1989","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballenas Island",2006,"",6,3,NA,0,"Nests",49.3542,-124.1647,"","P. Arcese?","Unpubl. Data - ""Arcese"" file in GWGU_laura","GI-010","Ballenas Islands",NA,"GI-010","Ballenas Islands",49.3464,-124.1581,NA
"Ballingall Islets",1936,"",7,3,NA,85,"Nests",48.9072,-123.4596,"","Sprot 1936","B.C. Nest Record Scheme","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1954,"",7,3,NA,1,"Nests",48.9072,-123.4596,"","","Campbell et al 1990","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1959,"",7,3,NA,57,"Nests",48.9072,-123.4596,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1964,"",7,3,NA,50,"Pair",48.9072,-123.4596,"","AJ Brooks, RY Edwardds","B.C. Nest Record Scheme","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1966,"",7,3,NA,100,"Nests",48.9072,-123.4596,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1968,"",7,3,NA,155,"Pair",48.9072,-123.4596,"Orig est of 150-160 pair","R Best","B.C. Nest Record Scheme","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1974,"",7,3,NA,96,"Pair",48.9072,-123.4596,"","","Campbell 1976","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1976,"",7,3,NA,118,"Nests",48.9072,-123.4596,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1977,"",7,3,NA,118,"Nests",48.9072,-123.4596,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",1986,"",7,3,NA,145,"Nests",48.9072,-123.4596,"","","Vermeer and Devito 1989","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Ballingall Islets",2010,"",7,3,NA,6,"Nests",48.9072,-123.4596,"","","","GI-320","Ballingall Islets",NA,"GI-320","Ballingall Islets",48.9072,-123.4594,NA
"Bare Point",1968,"",8,2,NA,1,"Pair",48.9284,-123.7047,"","R Drent","B.C. Nest Record Scheme","GI-280","Bare Point",NA,"GI-280","Bare Point",48.9278,-123.7064,NA
"Bare Point",1974,"",8,2,NA,11,"Pair",48.9284,-123.7047,"","MS Rodway, RW Campbell","Campbell 1976","GI-280","Bare Point",NA,"GI-280","Bare Point",48.9278,-123.7064,NA
"Bare Point",1977,"",8,2,NA,8,"Nests",48.9284,-123.7047,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-280","Bare Point",NA,"GI-280","Bare Point",48.9278,-123.7064,NA
"Bare Point",1978,"",8,2,NA,4,"Pair",48.9284,-123.7047,"","HR Carter, MS Rodway","B.C. Nest Record Scheme","GI-280","Bare Point",NA,"GI-280","Bare Point",48.9278,-123.7064,NA
"Bare Point",1980,"",8,2,NA,0,"Nests",48.9284,-123.7047,"","E Perkins, R Gibbs, J Goodall","B.C. Nest Record Scheme","GI-280","Bare Point",NA,"GI-280","Bare Point",48.9278,-123.7064,NA
"Bare Point",1986,"",8,2,NA,5,"Nests",48.9284,-123.7047,"","","Vermeer and Devito 1989","GI-280","Bare Point",NA,"GI-280","Bare Point",48.9278,-123.7064,NA
"Belle Chain Islets",1966,"",9,3,NA,14,"Nests",48.8335,-123.2009,"Orig est of 12 - 15 pr","RC Best","B.C. Nest Record Scheme","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Belle Chain Islets",1969,"",9,3,NA,43,"Nests",48.8335,-123.2009,"","R Drent, J Anvik, J&J Ward","B.C. Nest Record Scheme","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Belle Chain Islets",1974,"",9,3,NA,6,"Pair",48.8335,-123.2009,"","","Campbell 1976","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Belle Chain Islets",1976,"",9,3,NA,6,"Nests",48.8335,-123.2009,"","","B.C. Nest Record Scheme","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Belle Chain Islets",1977,"",9,3,NA,25,"Nests",48.8335,-123.2009,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Belle Chain Islets",1980,"",9,3,NA,37,"Nests",48.8335,-123.2009,"","E Perkins, R Gibbs, J Goodall","B.C. Nest Record Scheme","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Belle Chain Islets",1981,"",9,3,NA,78,"Nests",48.8335,-123.2009,"","M McNall, S Webb, L Giliberti","B.C. Nest Record Scheme","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Belle Chain Islets",1986,"",9,3,NA,56,"Nests",48.8335,-123.2009,"","","Vermeer and Devito 1989","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Belle Chain Islets",2009,"",9,3,NA,18,"Nests",48.8335,-123.2009,"","T. Golumbia","Todd Golumbia pers. comm. 2009","GI-470","Belle Chain Islets","check","GI-470","Belle Chain Islets",48.8335,-123.2009,"name and coordinates set to KBB2020"
"Bird Islet",1974,"",10,2,NA,3,"Nests",49.3633,-123.2914,"","","Moira Lemon","SG-500","Bird Islet",NA,"SG-500","Bird Islet",49.3633,-123.2911,NA
"Bird Islet",1981,"",10,2,NA,2,"Nests",49.3633,-123.2914,"","","Moira Lemon","SG-500","Bird Islet",NA,"SG-500","Bird Islet",49.3633,-123.2911,NA
"Bird Islet",1986,"",10,2,NA,38,"Nests",49.3633,-123.2914,"","","Vermeer and Devito 1989","SG-500","Bird Islet",NA,"SG-500","Bird Islet",49.3633,-123.2911,NA
"Bird Islet",1999,"",10,2,NA,31,"Nests",49.3633,-123.2914,"","","Moira Lemon, Sullivan et al. 2002","SG-500","Bird Islet",NA,"SG-500","Bird Islet",49.3633,-123.2911,NA
"Bird Islet",2010,"",10,2,NA,15,"Nests",49.3633,-123.2914,"","","","SG-500","Bird Islet",NA,"SG-500","Bird Islet",49.3633,-123.2911,NA
"Canoe Islet",1974,"",11,3,NA,67,"Pair",49.0282,-123.5887,"","","Campbell 1976","GI-220","Canoe Islet",NA,"GI-220","Canoe Islet",49.0281,-123.5886,NA
"Canoe Islet",1976,"",11,3,NA,37,"Pair",49.0282,-123.5887,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-220","Canoe Islet",NA,"GI-220","Canoe Islet",49.0281,-123.5886,NA
"Canoe Islet",1977,"",11,3,NA,57,"Pair",49.0282,-123.5887,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-220","Canoe Islet",NA,"GI-220","Canoe Islet",49.0281,-123.5886,NA
"Canoe Islet",1978,"",11,3,NA,50,"Nests",49.0282,-123.5887,"","HR Carter, MS Rodway, JA Rodway, MJ Sowden","B.C. Nest Record Scheme","GI-220","Canoe Islet",NA,"GI-220","Canoe Islet",49.0281,-123.5886,NA
"Canoe Islet",1986,"",11,3,NA,56,"Nests",49.0282,-123.5887,"","","Vermeer and Devito 1989","GI-220","Canoe Islet",NA,"GI-220","Canoe Islet",49.0281,-123.5886,NA
"Chain Islets and Great Chain Island",1943,"",12,5,NA,80,"Nests",48.4223,-123.2653,"","T White","B.C. Nest Record Scheme","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",1955,"",12,5,NA,1000,"Pair",48.4223,-123.2653,"","D. Stirling","Drent and Guiguet 1961","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",1960,"",12,5,NA,850,"Pair",48.4223,-123.2653,"Orig est of 700-1000 pr","F.A. Gornall","Drent and Guiguet 1961","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",1968,"",12,5,NA,1754,"",48.4223,-123.2653,"Combined R Drent ests for Grt Chain & islets","","","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",1973,"",12,5,NA,1550,"Pair",48.4223,-123.2653,"","","B.C Nest Record Scheme","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",1974,"",12,5,NA,1764,"Pair",48.4223,-123.2653,"","","Campbell 1976","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",1976,"",12,5,NA,1825,"Pair",48.4223,-123.2653,"","","B.C Nest Record Scheme","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",1977,"",12,5,NA,1838,"Pair",48.4223,-123.2653,"","","B.C Nest Record Scheme","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",1986,"",12,5,NA,2432,"Nests",48.4223,-123.2653,"","Vermeer et al 1989","Rodway 1991","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Chain Islets and Great Chain Island",2009,"",12,5,NA,1410,"Nests",48.4223,-123.2653,"","L Blight, H Carter, T Osler, A Medve","Oak Bay islands GWGU nest counts 2009","GI-890","Chain Islets/Great Chain Island",NA,"GI-890","Chain Islets/Great Chain Island",48.4206,-123.2753,NA
"Channel Islands",1977,"NE Islet",13,1,NA,1,"Nest",48.8014,-123.3818,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-460","Channel Islands",NA,"GI-460","Channel Islands",48.7994,-123.3842,NA
"Channel Islands",2004,"",13,1,NA,0,"Nests",48.8014,-123.3818,"","P. Arcese?","Unpubl. Data - ""Arcese"" file in GWGU_laura","GI-460","Channel Islands",NA,"GI-460","Channel Islands",48.7994,-123.3842,NA
"Christie Island",1941,"",14,5,NA,1,"Nest",49.4996,-123.302,"","WSM collection","Drent and Guiguet 1961","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1949,"",14,5,NA,2,"Nests",49.4996,-123.302,"","WSM collection","Drent and Guiguet 1961","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1955,"",14,5,NA,247,"Nests",49.4996,-123.302,"","Wm. Hughes, BCNRS","Drent and Guiguet 1961","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1956,"",14,5,NA,419,"Nests",49.4996,-123.302,"","Wm. Hughes, BCNRS","Drent and Guiguet 1961","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1958,"",14,5,NA,219,"Nests",49.4996,-123.302,"","Wm. Merilees and G.M McKay, BCNRS","Drent and Guiguet 1961","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1959,"",14,5,NA,299,"Nests",49.4996,-123.302,"","Wm. Merilees and G.M McKay, BCNRS","Drent and Guiguet 1961","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1963,"",14,5,NA,300,"Pair",49.4996,-123.302,"","","B.C. Nest Record Scheme","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1968,"",14,5,NA,293,"Pair",49.4996,-123.302,"Orig est 285-300 pr","R and N Drent","B.C. Nest Record Scheme","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1971,"",14,5,NA,300,"Pair",49.4996,-123.302,"","","B.C. Nest Record Scheme","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1974,"",14,5,NA,477,"Nests",49.4996,-123.302,"","","Campbell 1975","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1978,"",14,5,NA,718,"Nests",49.4996,-123.302,"","","Moira Lemon","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1980,"",14,5,NA,499,"Nests",49.4996,-123.302,"","P Nott, M McNall","B.C. Nest Record Scheme","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1981,"",14,5,NA,558,"Nests",49.4996,-123.302,"","RW Campbell","B.C Nest Record Scheme","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1986,"",14,5,NA,454,"Nests",49.4996,-123.302,"","","Vermeer and Devito 1989","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",1999,"",14,5,NA,232,"Nests",49.4996,-123.302,"","","Sullivan et al 2002","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Christie Island",2010,"",14,5,NA,198,"Nests",49.4996,-123.302,"","","","SG-430","Christie Islet",NA,"SG-430","Christie Islet",49.4994,-123.3017,NA
"Chrome Island",1935,"",15,3,NA,150,"Pair 'plus young'",49.4721,-124.6845,"Listed as 'Yellow I'","","Munro & Cowan 1947","SG-240","Chrome Island",NA,"SG-240","Chrome Island",49.4719,-124.6844,NA
"Chrome Island",1974,"",15,3,NA,1,"Pair",49.4721,-124.6845,"","","Campbell 1976","SG-240","Chrome Island",NA,"SG-240","Chrome Island",49.4719,-124.6844,NA
"Chrome Island",1986,"",15,3,NA,3,"Nests",49.4721,-124.6845,"","","Vermeer and Devito 1989","SG-240","Chrome Island",NA,"SG-240","Chrome Island",49.4719,-124.6844,NA
"Chrome Island",2010,"",15,3,NA,1,"Nests",49.4721,-124.6845,"","","","SG-240","Chrome Island",NA,"SG-240","Chrome Island",49.4719,-124.6844,NA
"De Courcy Island",1977,"",17,1,NA,3,"Nests",49.1106,-123.7576,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-140","Link Island",NA,NA,"De Courcy Island",49.1106,-123.7576,"name and coordinates set to KBB2020"
"De Courcy Island",1986,"NW cliffs",17,1,NA,2,"Nests",49.1106,-123.7576,"","","Vermeer and Devito 1989","GI-140","Link Island",NA,NA,"De Courcy Island",49.1106,-123.7576,"name and coordinates set to KBB2020"
"De Courcy Island",2010,"NW cliffs",17,1,NA,0,"Nests",49.1106,-123.7576,"","","","GI-140","Link Island",NA,NA,"De Courcy Island",49.1106,-123.7576,"name and coordinates set to KBB2020"
"Denman Island",1986,"Gravelly Bay Ferry Dock",18,1,NA,1,"Nest",49.4939,-124.7086,"","","Vermeer and Devito 1989","SG-210","Denman Island - East Dock",NA,"SG-210","Denman Island - East Dock",49.4939,-124.7089,NA
"Denman Island",2010,"Gravelly Bay Ferry Dock",18,1,NA,1,"Nest",49.4939,-124.7086,"","","","SG-210","Denman Island - East Dock",NA,"SG-210","Denman Island - East Dock",49.4939,-124.7089,NA
"Dinner Islet",1978,"",19,1,NA,0,"Birds present",49.9462,-124.7229,"","M.G and T.E Shepard, GE Colby","B.C Nest Record Scheme","SG-070","Major Islet","check",NA,"Dinner Islet",49.9462,-124.7229,"name and coordinates set to KBB2020"
"Dinner Islet",1981,"",19,1,NA,0,"Birds present - 1 adult seen flushed up by Eagle",49.9462,-124.7229,"","W Campbell","B.C Nest Record Scheme","SG-070","Major Islet","check",NA,"Dinner Islet",49.9462,-124.7229,"name and coordinates set to KBB2020"
"Dinner Islet",2006,"",19,1,NA,0,"Pair",49.9462,-124.7229,"","Rob Butler","Rob Butler pers. comm. 2009","SG-070","Major Islet","check",NA,"Dinner Islet",49.9462,-124.7229,"name and coordinates set to KBB2020"
"Dock Island",1977,"",NA,2,NA,48,"Pair",48.6709,-123.3577,"Orig est 45-50","","B.C. Nest Record Scheme","GI-710","Little Group",NA,"GI-710","Little Group",48.6717,-123.3575,NA
"Dock Island",2010,"",NA,2,NA,0,"Nests",48.6709,-123.3577,"","Todd Golumbia","Todd Golumbia pers. comm. 2009","GI-710","Little Group",NA,"GI-710","Little Group",48.6717,-123.3575,NA
"Eagle Harbour",1974,"",NA,1,NA,2,"Pair",49.3517,-123.2711,"","","Campbell 1976","SG-520","Eagle Rocks",NA,NA,"Eagle Harbour",49.3517,-123.2711,"name and coordinates set to KBB2020"
"Fegan Islets",1974,"",NA,1,NA,2,"Pair",49.5297,-124.3802,"","","Campbell 1976","SG-270","Fegen Islets",NA,"SG-270","Fegen Islets",49.53,-124.3806,NA
"Fegan Islets",1986,"",NA,1,NA,1,"Nest",49.5297,-124.3802,"","","Vermeer and Devito 1989","SG-270","Fegen Islets",NA,"SG-270","Fegen Islets",49.53,-124.3806,NA
"Finnerty Islands",1974,"",NA,1,NA,10,"Pair",49.5004,-124.393,"","","Campbell 1976","SG-260","Finnerty Islands",NA,"SG-260","Finnerty Islands",49.4989,-124.3953,NA
"Finnerty Islands",1981,"",NA,1,NA,6,"Pair",49.5004,-124.393,"","R W Campbell","B.C Nest Record Scheme","SG-260","Finnerty Islands",NA,"SG-260","Finnerty Islands",49.4989,-124.3953,NA
"Finnerty Islands",1986,"",NA,1,NA,4,"Nests",49.5004,-124.393,"","","Vermeer and Devito 1989","SG-260","Finnerty Islands",NA,"SG-260","Finnerty Islands",49.4989,-124.3953,NA
"Five Finger Island",1959,"Outermost",NA,5,NA,5,"Nests",49.2312,-123.916,"","Wm. Merilees","Drent and Guiguet 1961","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
