"Location","Year","Location.Description","Site.Number","Colony.Size.Class","Colony.Location.Class","Count","Type.of.Info","Lat","Long","Notes.x","Collector","Source","Location_Code_SCoBC2023","Location_B_SCoBC2023","check.location.match","Location_Code_final","Location_final","Latitude_final","Longitude_final","Notes.y"
"Five Finger Island",1968,"",NA,5,NA,110,"Nests",49.2312,-123.916,"","R and J Drent","Campbell et al 1990","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Five Finger Island",1974,"",NA,5,NA,559,"Pair",49.2312,-123.916,"","","Campbell 1976","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Five Finger Island",1977,"",NA,5,NA,459,"Nests",49.2312,-123.916,"","","Moira Lemon","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Five Finger Island",1978,"",NA,5,NA,473,"Nests",49.2312,-123.916,"","","Moira Lemon","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Five Finger Island",1980,"",NA,5,NA,364,"Nests",49.2312,-123.916,"","","Moira Lemon","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Five Finger Island",1981,"",NA,5,NA,599,"Nests",49.2312,-123.916,"","","Moira Lemon","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Five Finger Island",1986,"",NA,5,NA,671,"Nests",49.2312,-123.916,"","","Vermeer and Devito 1989","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Five Finger Island",1999,"",NA,5,NA,288,"Nests",49.2312,-123.916,"","","Sullivan et al 2002","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Five Finger Island",2010,"",NA,5,NA,2,"Nests",49.2312,-123.916,"","","","GI-050","Five Finger Island",NA,"GI-050","Five Finger Island",49.2311,-123.9158,NA
"Gabriola Island",1974,"Cliffs",NA,1,NA,4,"Pair",49.1548,-123.7857,"","MS Rodway, RW Campbell","Campbell 1976","GI-120","Mudge Island","check","GI-090","Gabriola Island - West Cliffs",49.1558,-123.8569,"wrongly named in KBB2020 and changed to new SCoB2023 location"
"Gabriola Island",1977,"Cliffs",NA,1,NA,5,"Nests",49.1548,-123.7857,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-120","Mudge Island","check","GI-090","Gabriola Island - West Cliffs",49.1558,-123.8569,"wrongly named in KBB2020 and changed to new SCoB2023 location"
"Gabriola Island",2010,"Cliffs",NA,1,NA,4,"Nests",49.1548,-123.7857,"Rob's note said 'a few', and I noted a couple from the ferry in summer 2010 but didn't note number","R Butler","R Butler, email 8 June 2010","GI-120","Mudge Island","check","GI-090","Gabriola Island - West Cliffs",49.1558,-123.8569,"wrongly named in KBB2020 and changed to new SCoB2023 location"
"Galiano Island Cliffs",1977,"Cliffs",NA,1,NA,2,"Nests",48.98,-123.5701,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-230","Galiano Island - North Cliffs",NA,"GI-230","Galiano Island - North Cliffs",48.9725,-123.5631,NA
"Galiano Island Cliffs",1985,"Cliffs",NA,1,NA,6,"Nests",48.98,-123.5701,"","","Vermeer and Devito 1989","GI-230","Galiano Island - North Cliffs",NA,"GI-230","Galiano Island - North Cliffs",48.9725,-123.5631,NA
"Galiano Island Cliffs",1986,"Cliffs",NA,1,NA,6,"Nests",48.98,-123.5701,"","","Vermeer and Devito 1989","GI-230","Galiano Island - North Cliffs",NA,"GI-230","Galiano Island - North Cliffs",48.9725,-123.5631,NA
"Galiano Island Cliffs Gray Pen.",1976,"Cliffs NW of Gray Pen.",NA,1,NA,4,"Nests",48.9059,-123.4158,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-330","Galiano Island - Central Cliffs","check","GI-330","Galiano Island - Central Cliffs",48.9119,-123.4314,NA
"Galiano Island Cliffs Gray Pen.",1977,"Cliffs NW of Gray Pen.",NA,1,NA,1,"Nest",48.9059,-123.4158,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-330","Galiano Island - Central Cliffs","check","GI-330","Galiano Island - Central Cliffs",48.9119,-123.4314,NA
"Grebe Islets",1974,"",NA,3,NA,7,"Pair",49.341,-123.2756,"","R.W. Campbell","Campbell 1976","SG-540","Grebe Islets",NA,"SG-540","Grebe Islets",49.3408,-123.2756,NA
"Grebe Islets",1978,"",NA,3,NA,12,"Nests",49.341,-123.2756,"","","Moira Lemon","SG-540","Grebe Islets",NA,"SG-540","Grebe Islets",49.3408,-123.2756,NA
"Grebe Islets",1980,"",NA,3,NA,24,"Nests",49.341,-123.2756,"","P Nott, M McNall","B.C. Nest Record Scheme","SG-540","Grebe Islets",NA,"SG-540","Grebe Islets",49.3408,-123.2756,NA
"Grebe Islets",1981,"",NA,3,NA,22,"Nests",49.341,-123.2756,"","","Moira Lemon","SG-540","Grebe Islets",NA,"SG-540","Grebe Islets",49.3408,-123.2756,NA
"Grebe Islets",1986,"",NA,3,NA,108,"Nests",49.341,-123.2756,"","Vermeer et al 1989","Rodway 1991","SG-540","Grebe Islets",NA,"SG-540","Grebe Islets",49.3408,-123.2756,NA
"Grebe Islets",1999,"",NA,3,NA,257,"Nests",49.341,-123.2756,"","","Sullivan et al 2002","SG-540","Grebe Islets",NA,"SG-540","Grebe Islets",49.3408,-123.2756,NA
"Grebe Islets",2010,"",NA,3,NA,33,"Nests",49.341,-123.2756,"","","","SG-540","Grebe Islets",NA,"SG-540","Grebe Islets",49.3408,-123.2756,NA
"Greig Island",1963,"",NA,3,NA,33,"Pair",48.6783,-123.3389,"Orig est 30-35","G McKay","B.C. Nest Record Scheme","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Greig Island",1973,"",NA,3,NA,35,"Pair",48.6783,-123.3389,"","","B.C Nest Record Scheme","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Greig Island",1974,"",NA,3,NA,40,"Pair",48.6783,-123.3389,"","","Campbell 1976","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Greig Island",1981,"",NA,3,NA,53,"Nests",48.6783,-123.3389,"","M McNall, R Kool","B.C. Nest Record Scheme","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Greig Island",1985,"",NA,3,NA,45,"Nests",48.6783,-123.3389,"","","Vermeer and Devito 1989","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Greig Island",1986,"",NA,3,NA,52,"Nests",48.6783,-123.3389,"","","Vermeer and Devito 1989","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Greig Island",1997,"",NA,3,NA,5,"Nests",48.6783,-123.3389,"","","Sullivan et al 2002","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Greig Island",1999,"",NA,3,NA,14,"Nests",48.6783,-123.3389,"","","Moira Lemon BLOY egg collection 1999, Sullivan et al. 2002","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Greig Island",2009,"",NA,3,NA,17,"Nests",48.6783,-123.3389,"","T. Golumbia","Todd Golumbia pers. comm. 2009","GI-690","Greig Island",NA,"GI-690","Greig Island",48.6781,-123.3392,NA
"Harris Island",1977,"",NA,2,NA,28,"Nests",48.4233,-123.2897,"","M G Shepard","B.C. Nest Record Scheme","GI-880","Harris Island",NA,"GI-880","Harris Island",48.4231,-123.2897,NA
"Harris Island",1981,"",NA,2,NA,19,"Nests",48.4233,-123.2897,"","E Taylor, L Giliberti, M McNall","B.C. Nest Record Scheme","GI-880","Harris Island",NA,"GI-880","Harris Island",48.4231,-123.2897,NA
"Harris Island",1986,"",NA,2,NA,22,"Nests",48.4233,-123.2897,"","","Vermeer and Devito 1989","GI-880","Harris Island",NA,"GI-880","Harris Island",48.4231,-123.2897,NA
"Harris Island (Oak Bay Is)",1971,"",NA,2,NA,41,"Nests",48.4233,-123.2897,"","","B.C Nest Record Scheme","GI-880","Harris Island",NA,"GI-880","Harris Island",48.4231,-123.2897,NA
"Hodgson Islands",1986,"",NA,1,NA,1,"Nest",49.6301,-124.0808,"","","Vermeer and Devito 1989","SG-170","Daniel Point","check",NA,"Hodgson Islands",49.6301,-124.0808,"name and coordinates set to KBB2020"
"Hodgson Islands",2006,"",NA,1,NA,0,"Nests. 20 GWGU",49.6301,-124.0808,"","Rob Butler","Rob Butler pers.comm. 2009","SG-170","Daniel Point","check",NA,"Hodgson Islands",49.6301,-124.0808,"name and coordinates set to KBB2020"
"Hornby Island Bluffs",1938,"Bluffs",NA,2,NA,30,"Pair",49.5236,-124.5925,"","Pearse 1956","Drent and Guiguet 1961","SG-220","St. John Point",NA,NA,"Hornby Island Bluffs",49.5236,-124.5925,"name and coordinates set to KBB2020"
"Hornby Island Bluffs",1960,"Bluffs",NA,NA,NA,0,"Nests. 70 adults counted",49.5236,-124.5925,"","Mr.G.E. Seon","Drent and Guiguet 1961","SG-220","St. John Point",NA,NA,"Hornby Island Bluffs",49.5236,-124.5925,"name and coordinates set to KBB2020"
"Hornby Island Bluffs",1977,"Bluffs",NA,2,NA,1,"Nest",49.5236,-124.5925,"","D Thompson","B.C. Nest Record Scheme","SG-220","St. John Point",NA,NA,"Hornby Island Bluffs",49.5236,-124.5925,"name and coordinates set to KBB2020"
"Hornby Island St. John Point",1968,"St. John Point",NA,2,NA,0,"Nests",49.518,-124.5863,"","GE Seon","B.C. Nest Record Scheme","SG-220","St. John Point",NA,"SG-220","St. John Point",49.5167,-124.5861,NA
"Hornby Island St. John Point",1974,"St. John Point",NA,2,NA,5,"Pair",49.518,-124.5863,"","","Campbell 1976","SG-220","St. John Point",NA,"SG-220","St. John Point",49.5167,-124.5861,NA
"Hornby Island St. John Point",1986,"St. John Point",NA,2,NA,6,"Nests",49.518,-124.5863,"","","Vermeer and Devito 1989","SG-220","St. John Point",NA,"SG-220","St. John Point",49.5167,-124.5861,NA
"Horseshoe Bay",1956,"Cliff 2 miles N",NA,1,NA,1,"Pair",49.3993,-123.2512,"","A. Muir","Drent and Guiguet 1961","SG-460","Sunset Beach Cliffs",NA,"SG-460","Sunset Beach Cliffs",49.4,-123.2506,NA
"Horseshoe Bay",1957,"Cliff 2 miles N",NA,1,NA,1,"Pair",49.3993,-123.2512,"","A. Muir","Drent and Guiguet 1961","SG-460","Sunset Beach Cliffs",NA,"SG-460","Sunset Beach Cliffs",49.4,-123.2506,NA
"Horseshoe Bay",1974,"",NA,1,NA,1,"Pair",49.3993,-123.2512,"","","Campbell 1976","SG-460","Sunset Beach Cliffs",NA,"SG-460","Sunset Beach Cliffs",49.4,-123.2506,NA
"Hudson Rocks",1959,"",NA,4,NA,80,"Pair. 75 pair with juveniles and 5 nests with eggs",49.2261,-123.9254,"","Wm. Merilees","Drent and Guiguet 1961","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1960,"",NA,4,NA,38,"Nests",49.2261,-123.9254,"","K Vermeer","B.C Nest Record Scheme","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1968,"",NA,4,NA,79,"Pair",49.2261,-123.9254,"","R and J Drent","B.C. Nest Record Scheme","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1974,"",NA,4,NA,248,"Nests",49.2261,-123.9254,"","","Moira Lemon","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1977,"",NA,4,NA,259,"Nests",49.2261,-123.9254,"","","Moira Lemon","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1978,"",NA,4,NA,236,"Nests",49.2261,-123.9254,"","","Moira Lemon","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1980,"",NA,4,NA,226,"Nests",49.2261,-123.9254,"","","Moira Lemon","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1981,"",NA,4,NA,308,"Nests",49.2261,-123.9254,"","","Moira Lemon","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1986,"",NA,4,NA,247,"Nests",49.2261,-123.9254,"","","Vermeer and Devito 1989","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",1999,"",NA,4,NA,122,"Nests",49.2261,-123.9254,"","","Moira Lemon, Sullivan et al. 2002","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Hudson Rocks",2010,"",NA,4,NA,10,"Nests",49.2261,-123.9254,"","","","GI-060","Hudson Rocks",NA,"GI-060","Hudson Rocks",49.2258,-123.925,NA
"Imrie Island",1905,"",NA,3,NA,0,"Nesting sea birds",48.6944,-123.3332,"","Dawson and Edson","Drent and Guiguet 1961","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1935,"",NA,3,NA,150,"Pair",48.6944,-123.3332,"","JA Munro","B.C. Nest Record Scheme","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1945,"North half of island",NA,3,NA,150,"Adults",48.6944,-123.3332,"","Meugens","Drent and Guiguet 1961","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1959,"",NA,3,NA,200,"Nests. 168 nests actually counted but due to long grass estimate was made at 200.",48.6944,-123.3332,"","R., J.J., & J. Drent","Drent and Guiguet 1961","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1960,"",NA,3,NA,295,"Pair. 270 Nests actually counted but due to long grass estimate was made of 290-300 pairs.",48.6944,-123.3332,"Orig est 290-300","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1968,"",NA,3,NA,250,"Nests",48.6944,-123.3332,"Orig est 200-300","R and N Drent","B.C. Nest Record Scheme","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1974,"",NA,3,NA,298,"Pair",48.6944,-123.3332,"","","Campbell 1976","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1977,"",NA,3,NA,315,"Nests. (299 +16 flooded)",48.6944,-123.3332,"","R Hunter","B.C. Nest Record Scheme","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1978,"",NA,3,NA,355,"Nests",48.6944,-123.3332,"","","Campbell et al 1990","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1985,"",NA,3,NA,120,"Nests",48.6944,-123.3332,"","","Vermeer and Devito 1989","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1986,"",NA,3,NA,216,"Nests",48.6944,-123.3332,"","","Vermeer and Devito 1989","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1997,"",NA,3,NA,33,"Nests",48.6944,-123.3332,"","","Sullivan et al 2002","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",1999,"",NA,3,NA,41,"Nests",48.6944,-123.3332,"","","Moira Lemon BLOY egg collection 1999, Sullivan et al. 2002","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",2005,"",NA,3,NA,1,"Nests",48.6944,-123.3332,"","","Unpubl. Data - ""Haro Gulls"" file in GWGU_laura","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Imrie Island",2007,"",NA,3,NA,0,"Nests",48.6944,-123.3332,"","","Unpubl. Data - ""Haro Gulls"" file in GWGU_laura","GI-670","Imrie Island",NA,"GI-670","Imrie Island",48.6944,-123.3331,NA
"Inskip Rock",1999,"",NA,1,NA,0,"Nests",49.2085,-123.9538,"","","Moira Lemon BLOY egg collection 1999","GI-076","Brandon Islands",NA,NA,"Inskip Rock",49.2085,-123.9538,"name and coordinates set to KBB2020"
"Java Islets",1900,"",NA,5,NA,35,"Pair",48.7603,-123.1138,"","H. Spalding","Drent and Guiguet 1961","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",1959,"",NA,5,NA,372,"Nests",48.7603,-123.1138,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",1968,"",NA,5,NA,464,"Nests",48.7603,-123.1138,"","R and J Drent","B.C. Nest Record Scheme","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",1969,"",NA,5,NA,531,"Nests",48.7603,-123.1138,"","R Drent, J Anvik, J&J Ward","B.C. Nest Record Scheme","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",1974,"",NA,5,NA,372,"Nests",48.7603,-123.1138,"","","Campbell 1976","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",1977,"",NA,5,NA,374,"Nests",48.7603,-123.1138,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",1980,"",NA,5,NA,181,"Nests",48.7603,-123.1138,"","","Campbell et al 1990","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",1981,"",NA,5,NA,384,"Nests",48.7603,-123.1138,"","R Gibb, C Gibb, M Hodgson","B.C. Nest Record Scheme","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",1986,"",NA,5,NA,298,"Nests",48.7603,-123.1138,"","","Vermeer and Devito 1989","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",2005,"",NA,5,NA,52,"Nests",48.7603,-123.1138,"","Todd Golumbia","Todd Golumbia pers. comm. 2009","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",2007,"",NA,5,NA,20,"Nests",48.7603,-123.1138,"","Todd Golumbia","Todd Golumbia pers. comm. 2009","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",2008,"",NA,5,NA,17,"Nests",48.7603,-123.1138,"","Todd Golumbia","Todd Golumbia pers. comm. 2009","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Java Islets",2009,"",NA,5,NA,25,"Nests",48.7603,-123.1138,"","Todd Golumbia","Todd Golumbia pers. comm. 2009","GI-550","Java Islets",NA,"GI-550","Java Islets",48.7597,-123.1097,NA
"Keefer Rock",1970,"",NA,2,NA,7,"Nests",49.9684,-124.8775,"","R Foottit, R Butler, W Merilee","B.C. Nest Record Scheme","SG-080","Keefer Rock",NA,"SG-080","Keefer Rock",49.9681,-124.8772,NA
"Keefer Rock",1973,"",NA,2,NA,7,"Pair",49.9684,-124.8775,"","Rob and Sharon Butler","B.C Nest Record Scheme","SG-080","Keefer Rock",NA,"SG-080","Keefer Rock",49.9681,-124.8772,NA
"Keefer Rock",1974,"",NA,2,NA,7,"Pair",49.9684,-124.8775,"","","Campbell 1976","SG-080","Keefer Rock",NA,"SG-080","Keefer Rock",49.9681,-124.8772,NA
"Keefer Rock",1977,"",NA,2,NA,20,"Pair",49.9684,-124.8775,"","","B.C Nest Record Scheme","SG-080","Keefer Rock",NA,"SG-080","Keefer Rock",49.9681,-124.8772,NA
"Keefer Rock",1986,"",NA,2,NA,28,"Nests",49.9684,-124.8775,"","","Vermeer and Devito 1989","SG-080","Keefer Rock",NA,"SG-080","Keefer Rock",49.9681,-124.8772,NA
"Keefer Rock",2006,"",NA,2,NA,0,"GWGU",49.9684,-124.8775,"","Rob Butler","Rob Butler pers. comm. 2009","SG-080","Keefer Rock",NA,"SG-080","Keefer Rock",49.9681,-124.8772,NA
"Kuper Island",1972,"",NA,2,NA,4,"Nests",48.9359,-123.6317,"","J Cooper","B.C Nest Record Scheme","GI-270","Tent Island","check",NA,"Kuper Island",48.9359,-123.6317,"name and coordinates set to KBB2020"
"Kuper Island",1974,"",NA,2,NA,10,"Nests",48.9359,-123.6317,"","MS Rodway, RW Campbell","B.C Nest Record Scheme","GI-270","Tent Island","check",NA,"Kuper Island",48.9359,-123.6317,"name and coordinates set to KBB2020"
"Kuper Island",1976,"",NA,2,NA,11,"Nests",48.9359,-123.6317,"","MS Rodway, RW Campbell","B.C Nest Record Scheme","GI-270","Tent Island","check",NA,"Kuper Island",48.9359,-123.6317,"name and coordinates set to KBB2020"
"Kuper Island",1977,"",NA,2,NA,6,"Nests",48.9359,-123.6317,"","MS Rodway, RW Campbell","B.C Nest Record Scheme","GI-270","Tent Island","check",NA,"Kuper Island",48.9359,-123.6317,"name and coordinates set to KBB2020"
"Kuper Island",1986,"Cliffs and cliff cavities",NA,2,NA,8,"Nests",48.9359,-123.6317,"","","Vermeer and Devito 1989","GI-270","Tent Island","check",NA,"Kuper Island",48.9359,-123.6317,"name and coordinates set to KBB2020"
"Lion Islets",1977,"",NA,1,NA,2,"Nests",48.9009,-123.3372,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-380","Lion Islets",NA,"GI-380","Lion Islets",48.9003,-123.335,NA
"Lion Islets",1986,"",NA,1,NA,1,"Nest",48.9009,-123.3372,"","","Vermeer and Devito 1989","GI-380","Lion Islets",NA,"GI-380","Lion Islets",48.9003,-123.335,NA
"Little Group Islets",1986,"",NA,1,NA,6,"Nests",48.6708,-123.3578,"","","Vermeer and Devito 1989","GI-710","Little Group",NA,"GI-710","Little Group",48.6717,-123.3575,NA
"Little Group Islets",1997,"",NA,1,NA,3,"Nests",48.6708,-123.3578,"","","Sullivan et al 2002","GI-710","Little Group",NA,"GI-710","Little Group",48.6717,-123.3575,NA
"Little Group Islets",1999,"",NA,1,NA,1,"Nests",48.6708,-123.3578,"","","Moira Lemon BLOY egg collection 1999","GI-710","Little Group",NA,"GI-710","Little Group",48.6717,-123.3575,NA
"Little Group Islets",2010,"",NA,1,NA,0,"Nests",48.6708,-123.3578,"","","","GI-710","Little Group",NA,"GI-710","Little Group",48.6717,-123.3575,NA
"Little Rock 1",1974,"Caution - see notes",NA,1,NA,1,"Pair",50.0526,-124.9136,"","","Campbell 1976","SG-040","Three Islets",NA,"SG-040","Three Islets",50.0539,-124.9131,NA
"Little Rock 1",2006,"Caution - see notes",NA,1,NA,0,"Nests (Orig notes read ""GWGU 2' where notes for other colonies mention pairs or nests)",50.0526,-124.9136,"","Rob Butler","Rob Butler pers. comm. 2009","SG-040","Three Islets",NA,"SG-040","Three Islets",50.0539,-124.9131,NA
"Little Rock 2",1986,"Caution - see notes",NA,1,NA,1,"Nest",50.1581,-125.0945,"","","Vermeer and Devito 1989","SG-012","“Steamer” Island",NA,"SG-012","“Steamer” Island",50.1584,-125.0949,NA
"Major Islet",1970,"",NA,1,NA,1,"Nests",49.989,-124.8165,"","R Foottit, R Butler, W Merilee","B.C. Nest Record Scheme","SG-070","Major Islet",NA,"SG-070","Major Islet",49.9894,-124.8161,NA
"Major Islet",1974,"",NA,1,NA,3,"Pair",49.989,-124.8165,"","","Campbell 1976","SG-070","Major Islet",NA,"SG-070","Major Islet",49.9894,-124.8161,NA
"Major Islet",1978,"",NA,1,NA,1,"Pair",49.989,-124.8165,"","MGS TES","B.C. Nest Record Scheme","SG-070","Major Islet",NA,"SG-070","Major Islet",49.9894,-124.8161,NA
"Major Islet",2006,"",NA,1,NA,0,"Pair",49.989,-124.8165,"","Rob Butler","Rob Butler pers. comm. 2009","SG-070","Major Islet",NA,"SG-070","Major Islet",49.9894,-124.8161,NA
"Mandarte Island",1915,"",NA,5,NA,450,"Pair.",48.6339,-123.29,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
"Mandarte Island",1921,"",NA,5,NA,350,"Pair",48.6339,-123.29,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
"Mandarte Island",1923,"",NA,5,NA,600,"Pair",48.6339,-123.29,"","JA Munro","B.C. Nest Record Scheme","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
"Mandarte Island",1927,"",NA,5,NA,1000,"Pair",48.6339,-123.29,"","Munro 1929","B.C. Nest Record Scheme","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
"Mandarte Island",1936,"",NA,5,NA,534,"Nests",48.6339,-123.29,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
"Mandarte Island",1955,"",NA,5,NA,1500,"Pair",48.6339,-123.29,"","MS Rodway, RW Campbell","B.C. Nest Record Scheme","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
"Mandarte Island",1957,"",NA,5,NA,1900,"Pair",48.6339,-123.29,"Orig est 1800-2000","G.F. van Tets and other UBCers","Drent and Guiguet 1961","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
"Mandarte Island",1958,"",NA,5,NA,1900,"Pair",48.6339,-123.29,"Orig est 1800-2000","G.F. van Tets and other UBCers","Drent and Guiguet 1961","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
"Mandarte Island",1959,"",NA,5,NA,1900,"Pair",48.6339,-123.29,"Orig est 1800-2000","G.F. van Tets and other UBCers","Drent and Guiguet 1961","GI-750","Mandarte Island",NA,"GI-750","Mandarte Island",48.6333,-123.2867,NA
